,Date,Hour,Temperature,Humidity,Wind speed,Rainfall,Snowfall,Seasons,Holiday,Functioning Day,Rental count,score,score_type,Temperature Category
0,01/12/2017,0,-5.2,37,2.2,0.0,0.0,Winter,No Holiday,Yes,257,56.0,0-100,frost
1,01/12/2017,1,-5.5,38,0.8,0.0,0.0,Winter,No Holiday,Yes,219,3.0,0-10,frost
2,01/12/2017,2,-6.0,39,1.0,0.0,0.0,Winter,No Holiday,Yes,162,7.0,0-10,frost
3,01/12/2017,3,-6.2,40,0.9,0.0,0.0,Winter,No Holiday,Yes,148,8.0,0-10,frost
4,01/12/2017,4,-6.0,36,2.3,0.0,0.0,Winter,No Holiday,Yes,97,10.0,0-100,frost
5,01/12/2017,5,-6.4,37,1.5,0.0,0.0,Winter,No Holiday,Yes,173,69.0,0-100,frost
6,01/12/2017,6,-6.6,35,1.3,0.0,0.0,Winter,No Holiday,Yes,167,99.0,0-100,frost
7,01/12/2017,7,-7.4,38,0.9,0.0,0.0,Winter,No Holiday,Yes,483,5.0,0-10,frost
8,01/12/2017,8,-7.6,37,1.1,0.0,0.0,Winter,No Holiday,Yes,853,77.0,0-100,frost
9,01/12/2017,9,-6.5,27,0.5,0.0,0.0,Winter,No Holiday,Yes,238,10.0,0-100,frost
10,01/12/2017,10,-3.5,24,1.2,0.0,0.0,Winter,No Holiday,Yes,385,62.0,0-100,cold
11,01/12/2017,11,-0.5,21,1.3,0.0,0.0,Winter,No Holiday,Yes,334,14.0,0-100,cold
12,01/12/2017,12,1.7,23,1.4,0.0,0.0,Winter,No Holiday,Yes,592,10.0,0-10,cold
13,01/12/2017,13,2.4,25,1.6,0.0,0.0,Winter,No Holiday,Yes,700,7.0,0-10,cold
14,01/12/2017,14,3.0,26,2.0,0.0,0.0,Winter,No Holiday,Yes,490,50.0,0-100,cold
15,01/12/2017,15,2.1,36,3.2,0.0,0.0,Winter,No Holiday,Yes,817,60.0,0-100,cold
16,01/12/2017,16,1.2,54,4.2,0.0,0.0,Winter,No Holiday,Yes,184,5.0,0-10,cold
17,01/12/2017,17,0.8,58,1.6,0.0,0.0,Winter,No Holiday,Yes,468,10.0,0-100,cold
18,01/12/2017,18,0.6,66,1.4,0.0,0.0,Winter,No Holiday,Yes,924,63.0,0-100,cold
19,01/12/2017,19,0.0,77,1.7,0.0,0.0,Winter,No Holiday,Yes,917,3.0,0-10,cold
20,01/12/2017,20,-0.3,79,1.5,0.0,0.0,Winter,No Holiday,Yes,184,10.0,0-100,cold
21,01/12/2017,21,-0.8,81,0.8,0.0,0.0,Winter,No Holiday,Yes,319,3.0,0-10,cold
22,01/12/2017,22,-0.9,83,1.5,0.0,0.0,Winter,No Holiday,Yes,473,34.0,0-100,cold
23,01/12/2017,23,-1.3,84,1.0,0.0,0.0,Winter,No Holiday,Yes,218,10.0,0-100,cold
24,02/12/2017,0,-1.8,87,1.1,0.0,0.0,Winter,No Holiday,Yes,199,8.0,0-10,cold
25,02/12/2017,1,-2.2,86,0.6,0.0,0.0,Winter,No Holiday,Yes,131,7.0,0-10,cold
26,02/12/2017,2,-2.9,86,1.5,0.0,0.0,Winter,No Holiday,Yes,179,58.0,0-100,cold
27,02/12/2017,3,-3.5,81,2.2,0.0,0.0,Winter,No Holiday,Yes,129,24.0,0-100,cold
28,02/12/2017,4,-3.8,79,2.0,0.0,0.0,Winter,No Holiday,Yes,55,5.0,0-10,cold
29,02/12/2017,5,-4.0,79,1.5,0.0,0.0,Winter,No Holiday,Yes,110,89.0,0-100,cold
30,02/12/2017,6,-4.3,82,2.1,0.0,0.0,Winter,No Holiday,Yes,85,95.0,0-100,cold
31,02/12/2017,7,-4.4,81,2.5,0.0,0.0,Winter,No Holiday,Yes,133,38.0,0-100,cold
32,02/12/2017,8,-4.2,79,2.1,0.0,0.0,Winter,No Holiday,Yes,83,100.0,0-100,cold
33,02/12/2017,9,-2.9,68,1.6,0.0,0.0,Winter,No Holiday,Yes,482,31.0,0-100,cold
34,02/12/2017,10,-0.4,57,1.6,0.0,0.0,Winter,No Holiday,Yes,339,42.0,0-100,cold
35,02/12/2017,11,1.9,49,1.8,0.0,0.0,Winter,No Holiday,Yes,419,10.0,0-100,cold
36,02/12/2017,12,4.3,41,1.3,0.0,0.0,Winter,No Holiday,Yes,803,10.0,0-100,cold
37,02/12/2017,13,6.0,36,1.8,0.0,0.0,Winter,No Holiday,Yes,659,10.0,0-100,cool
38,02/12/2017,14,7.3,35,1.3,0.0,0.0,Winter,No Holiday,Yes,1054,24.0,0-100,cool
39,02/12/2017,15,,41,2.3,0.0,0.0,Winter,No Holiday,Yes,688,8.0,0-10,
40,02/12/2017,16,6.4,48,2.6,0.0,0.0,Winter,No Holiday,Yes,592,95.0,0-100,cool
41,02/12/2017,17,6.0,51,2.5,0.0,0.0,Winter,No Holiday,Yes,141,10.0,0-100,cool
42,02/12/2017,18,5.5,53,1.5,0.0,0.0,Winter,No Holiday,Yes,281,10.0,0-100,cool
43,02/12/2017,19,5.0,52,2.3,0.0,0.0,Winter,No Holiday,Yes,625,3.0,0-10,cool
44,02/12/2017,20,4.6,51,1.2,0.0,0.0,Winter,No Holiday,Yes,433,91.0,0-100,cold
45,02/12/2017,21,4.1,55,1.2,0.0,0.0,Winter,No Holiday,Yes,428,61.0,0-100,cold
46,02/12/2017,22,3.5,54,1.5,0.0,0.0,Winter,No Holiday,Yes,137,10.0,0-100,cold
47,02/12/2017,23,4.0,56,1.0,0.0,0.0,Winter,No Holiday,Yes,219,53.0,0-100,cold
48,03/12/2017,0,4.0,58,1.4,0.0,0.0,Winter,No Holiday,Yes,277,10.0,0-100,cold
49,03/12/2017,1,3.9,69,1.7,0.0,0.0,Winter,No Holiday,Yes,265,92.0,0-100,cold
50,03/12/2017,2,,79,1.4,0.0,0.0,Winter,No Holiday,Yes,262,94.0,0-100,
51,03/12/2017,3,3.4,71,1.6,0.5,0.0,Winter,No Holiday,Yes,78,9.0,0-10,cold
52,03/12/2017,4,3.5,73,1.0,0.0,0.0,Winter,No Holiday,Yes,95,45.0,0-100,cold
53,03/12/2017,5,3.9,75,1.9,0.0,0.0,Winter,No Holiday,Yes,8,53.0,0-100,cold
54,03/12/2017,6,3.4,86,2.5,1.0,0.0,Winter,No Holiday,Yes,12,49.0,0-100,cold
55,03/12/2017,7,3.1,91,1.2,0.0,0.0,Winter,No Holiday,Yes,14,7.0,0-10,cold
56,03/12/2017,8,3.2,92,1.8,0.0,0.0,Winter,No Holiday,Yes,72,10.0,0-100,cold
57,03/12/2017,9,3.5,91,1.8,2.5,0.0,Winter,No Holiday,Yes,272,90.0,0-100,cold
58,03/12/2017,10,4.4,89,2.2,0.0,0.0,Winter,No Holiday,Yes,241,8.0,0-10,cold
59,03/12/2017,11,5.1,87,1.4,0.0,0.0,Winter,No Holiday,Yes,214,10.0,0-100,cool
60,03/12/2017,12,5.8,85,1.7,0.0,0.0,Winter,No Holiday,Yes,536,58.0,0-100,cool
61,03/12/2017,13,6.8,81,1.9,0.0,0.0,Winter,No Holiday,Yes,764,0.0,0-100,cool
62,03/12/2017,14,7.6,76,1.2,0.0,0.0,Winter,No Holiday,Yes,629,3.0,0-10,cool
63,03/12/2017,15,8.0,73,1.6,0.0,0.0,Winter,No Holiday,Yes,909,10.0,0-10,cool
64,03/12/2017,16,,77,1.6,0.0,0.0,Winter,No Holiday,Yes,577,10.0,0-100,
65,03/12/2017,17,6.7,82,1.5,0.0,0.0,Winter,No Holiday,Yes,931,58.0,0-100,cool
66,03/12/2017,18,6.0,84,1.9,0.0,0.0,Winter,No Holiday,Yes,251,10.0,0-100,cool
67,03/12/2017,19,5.7,85,1.7,0.0,0.0,Winter,No Holiday,Yes,556,93.0,0-100,cool
68,03/12/2017,20,5.2,87,1.4,0.0,0.0,Winter,No Holiday,Yes,427,5.0,0-10,cool
69,03/12/2017,21,4.7,87,1.2,0.0,0.0,Winter,No Holiday,Yes,573,10.0,0-10,cold
70,03/12/2017,22,4.3,89,1.8,0.0,0.0,Winter,No Holiday,Yes,421,6.0,0-10,cold
71,03/12/2017,23,3.9,90,1.3,0.0,0.0,Winter,No Holiday,Yes,260,83.0,0-100,cold
72,04/12/2017,0,4.2,88,0.6,0.0,0.0,Winter,No Holiday,Yes,333,10.0,0-100,cold
73,04/12/2017,1,4.3,87,0.5,0.0,0.0,Winter,No Holiday,Yes,338,10.0,0-100,cold
74,04/12/2017,2,4.4,87,1.8,0.0,0.0,Winter,No Holiday,Yes,163,89.0,0-100,cold
75,04/12/2017,3,3.6,85,2.3,0.0,0.0,Winter,No Holiday,Yes,53,8.0,0-10,cold
76,04/12/2017,4,2.8,89,1.5,0.0,0.0,Winter,No Holiday,Yes,22,10.0,0-100,cold
77,04/12/2017,5,2.0,83,2.7,0.0,0.0,Winter,No Holiday,Yes,100,6.0,0-10,cold
78,04/12/2017,6,1.2,76,3.7,0.1,0.0,Winter,No Holiday,Yes,100,7.0,0-10,cold
79,04/12/2017,7,0.2,68,3.4,0.0,0.0,Winter,No Holiday,Yes,385,10.0,0-10,cold
